date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std,month,ndwi_mean_zscore,ndwi_mean_anomaly,ndti_mean_zscore,ndti_mean_anomaly,turb_mean_zscore,turb_mean_anomaly,any_anomaly
2024-04-13,5.275022,80662,0.0704,0.0139,-0.0556,0.0091,0.8948,0.0163,2024-04,-0.667,False,0.14,False,0.126,False,False
2024-04-23,0.330415,80565,0.0644,0.0275,-0.0489,0.0087,0.9069,0.0158,2024-04,-0.953,False,0.635,False,0.623,False,False
2024-05-23,0.673615,5014,0.1019,0.0424,-0.0663,0.0134,0.876,0.0236,2024-05,0.836,False,-0.651,False,-0.645,False,False
2024-05-28,0.116639,80610,0.0793,0.017,-0.0562,0.0088,0.8937,0.0157,2024-05,-0.242,False,0.096,False,0.081,False,False
2024-06-12,18.881048,80436,0.0789,0.0142,-0.0606,0.0083,0.8859,0.0148,2024-06,-0.261,False,-0.229,False,-0.239,False,False
2024-06-27,0.038478,80538,0.0645,0.0307,-0.05,0.0138,0.9051,0.0214,2024-06,-0.948,False,0.554,False,0.549,False,False
2024-07-22,0.004051,80645,0.0821,0.0114,-0.0647,0.007,0.8785,0.0124,2024-07,-0.109,False,-0.532,False,-0.542,False,False
2024-08-06,17.220666,78130,0.0779,0.0185,-0.0559,0.01,0.8943,0.018,2024-08,-0.309,False,0.118,False,0.106,False,False
2024-08-26,1.941918,80667,0.0699,0.0284,-0.0557,0.0103,0.8947,0.0184,2024-08,-0.691,False,0.133,False,0.122,False,False
2024-08-31,0.006098,80667,0.0754,0.0102,-0.0612,0.0064,0.8848,0.0113,2024-08,-0.428,False,-0.274,False,-0.284,False,False
2024-09-05,0.001045,80667,0.0769,0.0118,-0.0589,0.0065,0.8889,0.0116,2024-09,-0.357,False,-0.104,False,-0.116,False,False
2024-09-10,0.03292,80667,0.0703,0.016,-0.0603,0.0074,0.8863,0.0131,2024-09,-0.671,False,-0.207,False,-0.222,False,False
2024-10-10,2.292836,5014,0.1248,0.0381,-0.0679,0.005,0.8728,0.0088,2024-10,1.928,False,-0.769,False,-0.776,False,False
2024-10-25,10.843902,80667,0.0778,0.0228,-0.0622,0.0068,0.8829,0.0121,2024-10,-0.314,False,-0.348,False,-0.362,False,False
2024-10-30,0.317126,80667,0.0828,0.0093,-0.0683,0.0049,0.8722,0.0086,2024-10,-0.075,False,-0.798,False,-0.801,False,False
2024-11-09,0.176572,5014,0.1285,0.0115,-0.0963,0.0092,0.8244,0.0153,2024-11,2.105,True,-2.867,True,-2.761,True,True
2024-11-24,13.919161,80667,0.0728,0.0117,-0.0647,0.0072,0.8786,0.0127,2024-11,-0.552,False,-0.532,False,-0.538,False,False
2024-12-14,0.457975,5014,0.1046,0.0154,-0.0757,0.0113,0.8594,0.0196,2024-12,0.965,False,-1.345,False,-1.326,False,False
2024-12-19,18.689689,4570,0.1215,0.0173,-0.0728,0.0102,0.8644,0.0178,2024-12,1.771,False,-1.131,False,-1.121,False,False
2024-12-24,0.000255,80667,0.0708,0.0137,-0.0557,0.0082,0.8945,0.0147,2024-12,-0.648,False,0.133,False,0.114,False,False
2024-12-29,0.437122,80667,0.0738,0.0151,-0.0596,0.0079,0.8876,0.0139,2024-12,-0.505,False,-0.156,False,-0.169,False,False
